Metric,Baseline,Verion AI,Abs Difference,Improvement (%),Metric Goal
success_rate_pct,100.0,100.0,0.0,0.0%,higher_is_better
avg_latency_ms,5703.56,25702.9,19999.34,-350.65%,lower_is_better
p95_latency_ms,5980.57,28117.03,22136.46,-370.14%,lower_is_better
overall_completeness_pct,85.0,100.0,15.0,17.65%,higher_is_better
information_coverage_pct,91.08,95.0,3.92,4.3%,higher_is_better
specification_accuracy_pct,91.08,95.0,3.92,4.3%,higher_is_better
unsupported_claim_rate_pct,0.0,0.0,0.0,0.0%,lower_is_better
visual_attribute_recall_pct,90.83,90.83,0.0,0.0%,higher_is_better
pii_protection_rate_pct,0.0,100.0,100.0,0.0%,higher_is_better
pii_leakage_rate_pct,100.0,0.0,-100.0,100.0%,lower_is_better
